"global_turn_id";"query";"target_answer";"alternative_answer";"level_0_query_need";"level_1_query_need";"is_exact_query_answer_match";"is_internal_knowledge_source";"is_reasoning";"recipe_id";"recipe_title";"sentence";"step_number";"step_text";"conv_id";"turn_id";"is_generated";"sentence_number";"is_template";"step_id"
"0_11";"How should I prepare the scallions and turmeric for this recipe?";"Add half of sliced scallions and turmeric and cook, stirring, until lightly softened.";"";"competence";"cooking_technique";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"11";"True";"6";"False";"391"
"0_12";"what else can I use apart from water?";"stock";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock.";"3";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock. Add sweet potatoes. Bring to a boil, and reduce to a bare simmer. Cook until sweet potatoes are totally softened, about 15 minutes.";"0";"12";"False";"1";"False";"392"
"0_13";"how much water do I add to the mixture?";"1 quart";"";"fact";"amount";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock.";"3";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock. Add sweet potatoes. Bring to a boil, and reduce to a bare simmer. Cook until sweet potatoes are totally softened, about 15 minutes.";"0";"13";"False";"1";"False";"392"
"0_14";"What heat setting should I use after bringing the mixture to a boil?";"bare simmer";"";"fact";"temperature";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Bring to a boil, and reduce to a bare simmer.";"3";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock. Add sweet potatoes. Bring to a boil, and reduce to a bare simmer. Cook until sweet potatoes are totally softened, about 15 minutes.";"0";"14";"True";"3";"False";"392"
"0_15";"How long should the sweet potatoes be cooked for?";"Cook until sweet potatoes are totally softened, about 15 minutes.";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Cook until sweet potatoes are totally softened, about 15 minutes.";"3";"Add the remaining contents of both cans of coconut milk along with 1 quart of water or stock. Add sweet potatoes. Bring to a boil, and reduce to a bare simmer. Cook until sweet potatoes are totally softened, about 15 minutes.";"0";"15";"True";"4";"False";"392"
"0_16";"What should I do with the peanuts?";"combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"16";"True";"1";"False";"393"
"0_17";"what should I put the peanuts in?";"medium skillet";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"17";"False";"1";"False";"393"
"0_18";"How long should the peanuts be cooked?";"about 8 minutes.";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"18";"True";"2";"False";"393"
"0_19";"how long would it take the peanuts to turn a deep golden brown?";"about 8 minutes";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"19";"False";"2";"False";"393"
"0_20";"How can I prevent the peanuts from scorching?";"Immediately transfer to a bowl to prevent scorching.";"";"competence";"cooking_technique";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Immediately transfer to a bowl to prevent scorching.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"20";"True";"3";"False";"393"
"0_21";"what should I transfer the cooked peanuts to?";"bowl";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Immediately transfer to a bowl to prevent scorching.";"4";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"0";"21";"False";"3";"False";"393"
"0_22";"I should roughly chop half a what of peanuts?";"cup";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"22";"False";"1";"False";"394"
"0_23";"What should I do with half cup of peanuts?";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"23";"True";"1";"False";"394"
"0_24";"How should I prepare the peanuts for the soup?";"Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"24";"True";"3";"False";"394"
"0_25";"What am I supposed to do after moving the peanuts to the mortar and pestle?";"Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"25";"True";"4";"False";"394"
"0_26";"after I've made a paste with half of the peanuts what should I do?";"repeat";"";"competence";"preparation";"False";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Repeat with the other half of the remaining peanuts.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"26";"False";"6";"False";"394"
"0_27";"what should I use to make the rest of the paste?";"peanuts";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Repeat with the other half of the remaining peanuts.";"5";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"0";"27";"False";"6";"False";"394"
"0_28";"How should I address the soup's texture after softening the potatoes?";"blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches.";"";"competence";"cooking_technique";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"28";"True";"1";"False";"395"
"0_29";"What should I do once the potatoes are fully softened?";"blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"29";"True";"1";"False";"395"
"0_30";"After adding the kale, what's the next step?";"cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"30";"True";"2";"False";"395"
"0_31";"what type of juice do I stir into the mixture?";"lime";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Stir in lime juice.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"31";"False";"3";"False";"395"
"0_32";"I should add salt hot sauce and what to season the soup?";"pepper";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Season soup to taste with salt, pepper, and hot sauce.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"32";"False";"4";"False";"395"
"0_33";"what should I sprinkle on the rice?";"cilantro";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"6";"When potatoes are fully softened, blend soup until mostly smooth but a little texture remains using a hand blender directly in the pot or by transferring to a countertop blender in batches. Bring to a simmer, stir in kale, and cook until kale is completely wilted and tender, about 5 minutes. Stir in lime juice. Season soup to taste with salt, pepper, and hot sauce. Stir in cilantro, reserving some for garnish. Serve soup with rice, sprinkled with cilantro, chopped peanuts, scallions, and sliced chilies.";"0";"33";"False";"6";"False";"395"
"1_1";"what kind of dough do I need to make?";"old-fashioned flaky pie dough";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Prepare Old-Fashioned Flaky Pie Dough according to the recipe.";"1";"Prepare Old-Fashioned Flaky Pie Dough according to the recipe. After rolling, folding, and dividing dough in half, roll one portion into a 14-inch round. Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"1";"False";"1";"False";"366"
"1_2";"for how long does a dough take to settle in the most efficient time?";"2 hours";"";"fact";"time";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"Prepare Old-Fashioned Flaky Pie Dough according to the recipe. After rolling, folding, and dividing dough in half, roll one portion into a 14-inch round. Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"2";"False";"3";"False";"366"
"1_3";"What should I do with the dough after rolling one portion into a 14-inch round?";"Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"";"competence";"preparation";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"Prepare Old-Fashioned Flaky Pie Dough according to the recipe. After rolling, folding, and dividing dough in half, roll one portion into a 14-inch round. Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"3";"True";"3";"False";"366"
"1_5";"How long should the dough be refrigerated?";"At least 2 hours or up to 24.";"";"fact";"time";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"Prepare Old-Fashioned Flaky Pie Dough according to the recipe. After rolling, folding, and dividing dough in half, roll one portion into a 14-inch round. Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough, at least 2 hours or up to 24.";"1";"5";"True";"3";"False";"366"
"1_6";"how do I prepare peaches and what kind of peaches do I need?";"ripe peaches";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices.";"2";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices. Measure out 18 ounces (3 cups; 510g) in a medium bowl. Enjoy any extras as a snack; do not use more or you will overcrowd the pie. Sprinkle tapioca starch over peaches and toss until well combined.";"1";"6";"False";"1";"False";"367"
"1_7";"How much peaches do I need for the filling?";"Measure out 18 ounces (3 cups; 510g) in a medium bowl.";"";"fact";"amount";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Measure out 18 ounces (3 cups; 510g) in a medium bowl.";"2";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices. Measure out 18 ounces (3 cups; 510g) in a medium bowl. Enjoy any extras as a snack; do not use more or you will overcrowd the pie. Sprinkle tapioca starch over peaches and toss until well combined.";"1";"7";"True";"2";"False";"367"
"1_9";"what size bowl is needed?";"medium bowl";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Measure out 18 ounces (3 cups; 510g) in a medium bowl.";"2";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices. Measure out 18 ounces (3 cups; 510g) in a medium bowl. Enjoy any extras as a snack; do not use more or you will overcrowd the pie. Sprinkle tapioca starch over peaches and toss until well combined.";"1";"9";"False";"2";"False";"367"
"1_10";"What do I do with any extra peaches?";"Enjoy any extras as a snack; do not use more or you will overcrowd the pie.";"";"competence";"preparation";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Enjoy any extras as a snack; do not use more or you will overcrowd the pie.";"2";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices. Measure out 18 ounces (3 cups; 510g) in a medium bowl. Enjoy any extras as a snack; do not use more or you will overcrowd the pie. Sprinkle tapioca starch over peaches and toss until well combined.";"1";"10";"True";"3";"False";"367"
"1_11";"How should I arrange the peaches on the dough?";"Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around.";"";"competence";"preparation";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around.";"3";"Adjust oven rack to lower-middle position and preheat to 400°F. Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around. Sprinkle sugar on top of peaches and finish with a pinch of salt. With a sharp knife, cut a series of slits in the border of dough, each running from fruit to edge of dough, spacing them about 5 inches apart. Fold each segment of dough over peaches, tugging gently so the edge of each segment tightly overlaps the one that came before. Refrigerate pie while you prepare egg wash, but no longer than 15 minutes.";"1";"11";"True";"2";"False";"368"
"1_12";"what kind of slices are domino slices?";"peaches";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around.";"3";"Adjust oven rack to lower-middle position and preheat to 400°F. Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around. Sprinkle sugar on top of peaches and finish with a pinch of salt. With a sharp knife, cut a series of slits in the border of dough, each running from fruit to edge of dough, spacing them about 5 inches apart. Fold each segment of dough over peaches, tugging gently so the edge of each segment tightly overlaps the one that came before. Refrigerate pie while you prepare egg wash, but no longer than 15 minutes.";"1";"12";"False";"2";"False";"368"
"1_13";"what kind of knife is needed for such a delicate job?";"sharp knife";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"With a sharp knife, cut a series of slits in the border of dough, each running from fruit to edge of dough, spacing them about 5 inches apart.";"3";"Adjust oven rack to lower-middle position and preheat to 400°F. Arrange peaches in a ring in the center of chilled dough, tiling slices like dominoes and leaving about a 2-inch border of dough all around. Sprinkle sugar on top of peaches and finish with a pinch of salt. With a sharp knife, cut a series of slits in the border of dough, each running from fruit to edge of dough, spacing them about 5 inches apart. Fold each segment of dough over peaches, tugging gently so the edge of each segment tightly overlaps the one that came before. Refrigerate pie while you prepare egg wash, but no longer than 15 minutes.";"1";"13";"False";"4";"False";"368"
