"global_turn_id";"query";"answer";"alternative_answer";"level_0_query_need";"level_1_query_need";"is_exact_query_answer_match";"is_internal_knowledge_source";"is_reasoning";"recipe_id";"recipe_title";"step_number";"conv_id";"turn_id";"source_url"
"0_11";"I should roughly chop half a what of peanuts";"cup";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"5";"0";"11";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_12";"after I've made a paste with half of the peanuts what should I do";"repeat";"";"competence";"preparation";"False";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"5";"0";"12";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_13";"what should I use to make the rest of the paste";"peanuts";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"5";"0";"13";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_14";"what type of juice do I stir into the mixture";"lime";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"6";"0";"14";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_15";"I should add salt hot sauce and what to season the soup";"pepper";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"6";"0";"15";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"0_16";"what should I sprinkle on the rice";"cilantro";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"6";"0";"16";"https://www.seriouseats.com/west-african-inspired-vegan-peanut-sweet-potato-soup-recipe"
"1_1";"what kind of dough do I need to make";"old-fashioned flaky pie dough";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"1";"1";"1";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_2";"how do I transfer dough on to the metal sheet";"dough";"";"competence";"cooking_technique";"False";"False";"False";"45";"Freeform Peach Pie (Galette) Recipe";"1";"1";"2";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_3";"for how long does a dough take to settle in the most efficient time";"2 hours";"";"fact";"time";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"1";"1";"3";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_4";"how do I prepare peaches and what kind of peaches do I need";"ripe peaches";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"2";"1";"4";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_5";"do I need to have exactly 510 grams of peaches or could it be a little higher or lower";"510g";"";"fact";"amount";"False";"False";"False";"45";"Freeform Peach Pie (Galette) Recipe";"2";"1";"5";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_6";"what size bowl is needed";"medium bowl";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"2";"1";"6";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_7";"what kind of slices are domino slices";"peaches";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"3";"1";"7";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_8";"what kind of knife is needed for such a delicate job";"sharp knife";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"3";"1";"8";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_9";"how many eggs are needed for the egg yolk and the egg mixture";"1 large egg|1 large egg yolk";"";"fact";"amount";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"4";"1";"9";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_10";"how do I move the bread into the shape desired";"dough";"";"competence";"cooking_technique";"False";"False";"False";"45";"Freeform Peach Pie (Galette) Recipe";"4";"1";"10";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_11";"what if the recipe what if the pie is not a juicy pie by 20 minutes";"about 20 minutes";"";"competence";"cooking_technique";"False";"False";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"1";"11";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_12";"what kind of what kind of rum is needed and how should I disperse it on the pie";"silver rum";"";"fact";"ingredient";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"1";"12";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"1_13";"amount of sugar in it";"3 1/2 ounces sugar (1/2 cup; 100g)";"3 1/2 ounces sugar|1/2 cup; 100g|1/2 cup|100g";"fact";"amount";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"1";"13";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_1";"how long do I need to chill the dough for";"2 hours or up to 24";"";"fact";"time";"False";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"1";"14";"1";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_2";"what is the equivalent of 18 oz in grams";"510g";"";"fact";"amount";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"2";"14";"2";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_3";"what should I combine the peaches in";"medium bowl";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"2";"14";"3";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_4";"how should I arrange the peaches in the dough";"dominoes";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"3";"14";"4";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_5";"what should I use to cut a series of slits in the border of the dough";"sharp knife";"";"fact";"equipment";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"3";"14";"5";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_6";"what is it that I should fold each segment of dough over";"peaches";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"3";"14";"6";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_7";"what is the name of this wash that I am preparing called";"egg";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"4";"14";"7";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_8";"what should I whisk with the egg yolk cream and salt";"egg";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"4";"14";"8";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_9";"what should I brush the egg wash over";"dough";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"4";"14";"9";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_10";"how long should I bake the pie until";"about 20 minutes";"";"fact";"time";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"14";"10";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_11";"what should I brush over any undissolved pockets of sugar";"rum";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"14";"11";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"14_12";"what should I brush the rum over if the sugar is all dissolved";"sugar";"";"fact";"ingredient";"True";"True";"False";"45";"Freeform Peach Pie (Galette) Recipe";"5";"14";"12";"https://www.seriouseats.com/freeform-peach-pie-galette-recipe"
"2_1";"how do I whisk";"<no_answer>";"";"competence";"cooking_technique";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"1";"2";"1";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_2";"how much flour";"1/2 cup";"";"fact";"amount";"False";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"1";"2";"2";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_3";"what is paper towel";"<no_answer>";"";"fact";"equipment";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"2";"3";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_4";"how to tell when tofu is fried";"<no_answer>";"";"competence";"cooking_technique";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"2";"4";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_5";"what is tofu";"<no_answer>";"";"fact";"ingredient";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"2";"5";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_6";"what is stock vegetable or meat";"<no_answer>";"";"fact";"ingredient";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"2";"6";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_7";"What type of vinegar";"chinkiang vinegar";"";"fact";"ingredient";"False";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"2";"7";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_8";"how to tell which one is teaspoon";"<no_answer>";"";"fact";"equipment";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"2";"8";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_9";"what is a fine-mesh strainer";"<no_answer>";"";"fact";"equipment";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"2";"9";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_10";"how many mils in a cup";"<no_answer>";"";"fact";"amount";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"2";"10";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_11";"what temperature is medium to high heat";"<no_answer>";"";"fact";"temperature";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"2";"11";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_12";"what's the difference between a wok and a frying pan";"<no_answer>";"";"fact";"equipment";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"2";"12";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_13";"how hot should my wok be";"<no_answer>";"";"fact";"temperature";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"2";"13";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"2_14";"what is tofu";"<no_answer>";"";"fact";"ingredient";"False";"False";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"2";"14";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_1";"what do I need to do with the oil in the wok";"heat";"";"competence";"preparation";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"1";"55";"1";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_2";"what should I use to mix the cornstarch flour baking powder and salt";". whisk";"Whisk";"fact";"equipment";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"1";"55";"2";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_3";"what else do I add with the cornstarch, baking powder and salt?";"flour";"";"fact";"ingredient";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"1";"55";"3";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_4";"what do I line the plate with?";"paper towel";"";"fact";"equipment";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"55";"4";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_5";"what do I do after i've dipped the first piece of tofu into hot oil and put it on a paper towel on plate";"repeat";"Repeat until all tofu is fried.";"competence";"preparation";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"55";"5";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_6";"what ingredient am i putting in the batter";"tofu";"";"fact";"ingredient";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"2";"55";"6";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_7";"what goes with the soy sauce, bean paste, vinegar, sugar and cornstarch";"stock";"";"fact";"ingredient";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"55";"7";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_8";"what goes with the stock so we slowly being paste sugar and cornstarch";"vinegar";"soy sauce";"fact";"ingredient";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"55";"8";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_9";"how much corn starch do I need";"2 teaspoons";"";"fact";"amount";"False";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"3";"55";"9";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_10";"what do I need to set over a heatproof bowl or saucepan?";"fine mesh strainer";"";"fact";"equipment";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"55";"10";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_11";"how much of the reserved oil should I use";"1/4 cup";"";"fact";"amount";"False";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"55";"11";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_12";"what temperature should I heat the oil at";"medium-high heat";"medium-high";"fact";"temperature";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"4";"55";"12";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_13";"what do I need to clear a space at the centre of";"wok";"";"fact";"equipment";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"55";"13";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_14";"what do I add the sauce mixture to";"wok";"";"fact";"equipment";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"55";"14";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"55_15";"what do I need to get fully coated";"tofu";"";"fact";"ingredient";"True";"True";"False";"26";"Crispy Kung Pao Tofu Recipe";"5";"55";"15";"https://www.seriouseats.com/crispy-vegan-kung-pao-tofu-recipe"
"3_1";"Alexa how much ginger do I need";"one 2–inch piece fresh ginger";"one 2-inch piece";"fact";"amount";"False";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"1";"3";"1";"https://www.seriouseats.com/lamb-biryani"
"3_2";"Alexa what should I pour over the lamb";"yogurt";"yogurt mixture";"fact";"ingredient";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"1";"3";"2";"https://www.seriouseats.com/lamb-biryani"
"3_3";"Alexa what do I put in a Ziploc bag";"lamb";"the lamb";"fact";"ingredient";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"1";"3";"3";"https://www.seriouseats.com/lamb-biryani"
"3_4";"Alexa what is a dutch oven";"<no_answer>";"";"fact";"equipment";"False";"False";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"2";"3";"4";"https://www.seriouseats.com/lamb-biryani"
"3_5";"Alexa what equipment do I need";"saucepan";"Dutch oven|Dutch oven or saucepan";"fact";"equipment";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"2";"3";"5";"https://www.seriouseats.com/lamb-biryani"
"3_6";"Alexa how long do I need to caramelize onions";"30 minutes";"25 to 30 minutes";"fact";"time";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"2";"3";"6";"https://www.seriouseats.com/lamb-biryani"
"3_7";"Alexa how many cardamom pods do I need";"3";"";"fact";"amount";"False";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"3";"3";"7";"https://www.seriouseats.com/lamb-biryani"
"3_8";"Alexa what heat should I put this on";"heat to medium-high";"medium-high";"fact";"temperature";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"3";"3";"8";"https://www.seriouseats.com/lamb-biryani"
"3_9";"Alexa how long am I letting this liquid boil";"45 minutes";"30 to 45 minutes";"fact";"time";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"3";"3";"9";"https://www.seriouseats.com/lamb-biryani"
"3_10";"alexa what ingredient do I need again";"rice";"";"fact";"ingredient";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"4";"3";"10";"https://www.seriouseats.com/lamb-biryani"
"3_11";"Alexa what should I discard";"water";"soaking water";"fact";"ingredient";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"4";"3";"11";"https://www.seriouseats.com/lamb-biryani"
"3_12";"Alexa how do I tell the rice is cooked";"<no_answer>";"";"competence";"cooking_technique";"False";"False";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"4";"3";"12";"https://www.seriouseats.com/lamb-biryani"
"3_13";"Alexa what utensil should I use";"large wooden spoon";"clean,large wooden spoon|spatula";"fact";"equipment";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"5";"3";"13";"https://www.seriouseats.com/lamb-biryani"
"3_14";"Alexa is it best to use a large wooden spoon or spatula";"large wooden spoon or spatula";"";"fact";"equipment";"False";"False";"True";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"5";"3";"14";"https://www.seriouseats.com/lamb-biryani"
"3_15";"Alexa what do I need to spread again";"rice";"";"fact";"ingredient";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"5";"3";"15";"https://www.seriouseats.com/lamb-biryani"
"3_16";"Alexa what size saucepan should I use";"small saucepan";"small";"fact";"equipment";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"6";"3";"16";"https://www.seriouseats.com/lamb-biryani"
"3_17";"Alexa how hot should I turn this to";"low heat";"";"fact";"temperature";"False";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"6";"3";"17";"https://www.seriouseats.com/lamb-biryani"
"3_18";"Alexa how long should I let it steep";"for 10 minutes";"10 minutes";"fact";"time";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"6";"3";"18";"https://www.seriouseats.com/lamb-biryani"
"3_19";"Alexa what should I use as garnish";"caramelized onions";"";"fact";"ingredient";"False";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"7";"3";"19";"https://www.seriouseats.com/lamb-biryani"
"3_20";"Alexa what should I uncover";"pot";"";"fact";"equipment";"True";"True";"False";"16";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"7";"3";"20";"https://www.seriouseats.com/lamb-biryani"
"4_1";"why do I need to preheat the oven to 350 degrees";"to 350 degrees";"";"knowledge";"knowledge";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"1";"4";"1";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_2";"what will the flour be used for";"flour a 12-cup bundt or tube pan";"";"competence";"preparation";"False";"True";"False";"41";"Philly Fluff Cake Recipe";"1";"4";"2";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_3";"what type of tube pan do I need";"tube pan";"";"fact";"equipment";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"1";"4";"3";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_4";"what type of cream do I need";"cream cheese";"";"fact";"ingredient";"False";"True";"False";"41";"Philly Fluff Cake Recipe";"2";"4";"4";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_5";"how much butter do I need to use";"1/2 cup (1 stick)";"1/2 cup|1 stick";"fact";"amount";"False";"True";"False";"41";"Philly Fluff Cake Recipe";"2";"4";"5";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_6";"can I do it for less than 5 minutes";"about 5 minutes";"";"fact";"time";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"2";"4";"6";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_7";"should I use a big or small cup";"1 cup";"";"fact";"equipment";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"3";"4";"7";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_8";"what type of vanilla sugar do I use";"vanilla";"";"fact";"ingredient";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"3";"4";"8";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_9";"why do I only need to add one cup";"1 cup";"";"knowledge";"knowledge";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"3";"4";"9";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_10";"what mixture";"the mixture for the dough so far";"";"fact";"ingredient";"False";"True";"False";"41";"Philly Fluff Cake Recipe";"4";"4";"10";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_11";"how big is the prepared pan";"prepared pan";"";"fact";"equipment";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"4";"4";"11";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_12";"what knife should I use";"knife";"";"fact";"equipment";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"4";"4";"12";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_13";"can I bake for longer than 65 minutes";"65 minutes";"";"fact";"time";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"5";"4";"13";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_14";"what if the cake isn't cold in 15 minutes";"for 15 minutes";"";"competence";"cooking_technique";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"5";"4";"14";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"4_15";"what sugar";"sugar";"";"fact";"ingredient";"False";"False";"False";"41";"Philly Fluff Cake Recipe";"5";"4";"15";"https://www.seriouseats.com/philly-fluff-cake-recipe"
"5_1";"Alexa what is the first thing that I should do with this meal";"preheat oven";"";"competence";"preparation";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"1";"5";"1";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_2";"Alexa what ingredients must I drain";"potatoes";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"1";"5";"2";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_3";"Alexa what should I use to drain the potatoes";"colander";"";"fact";"equipment";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"1";"5";"3";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_4";"Alexa what ingredient do I remove with a slotted spoon";"chorizo";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"2";"5";"4";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_5";"Alexa what must I put the chorizo in once it is rendered out";"large bowl";"";"fact";"equipment";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"2";"5";"5";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_6";"Alexa what must I render the fat out of";"chorizo";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"2";"5";"6";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_7";"Alexa what must I drain at the beginning of the step";"potatoes";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"3";"5";"7";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_8";"Alexa what do I toss and stir occasionally while cooking";"potatoes";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"3";"5";"8";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
"5_9";"Alexa what should be added to the bowl with chorizo in it";"potatoes";"";"fact";"ingredient";"True";"True";"False";"3";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"3";"5";"9";"https://www.seriouseats.com/crispy-potato-and-chorizo-hash-recipe"
